t,x,y,z
0.001302,0.014465,-0.034470,-0.997360
0.001425,0.017166,-0.034164,-0.999771
0.011295,0.019928,-0.033310,-1.002014
0.011379,0.022644,-0.032059,-1.003937
0.011414,0.025238,-0.030502,-1.005371
0.011429,0.027603,-0.028809,-1.006210
0.011454,0.029724,-0.027039,-1.006409
0.011467,0.031540,-0.025314,-1.005981
0.011480,0.033066,-0.023697,-1.005005
0.011500,0.034225,-0.022232,-1.003555
0.021353,0.034988,-0.020966,-1.001755
0.021463,0.035324,-0.019897,-0.999680
0.021484,0.035248,-0.019089,-0.997452
0.021520,0.034744,-0.018570,-0.995132
0.021538,0.033859,-0.018402,-0.992859
0.021555,0.032593,-0.018631,-0.990707
0.021567,0.031006,-0.019287,-0.988724
0.021579,0.029190,-0.020355,-0.986954
0.031308,0.027267,-0.021774,-0.985474
0.031377,0.025330,-0.023407,-0.984329
0.031393,0.023483,-0.025131,-0.983566
0.031422,0.021805,-0.026810,-0.983246
0.031435,0.020401,-0.028305,-0.983383
0.031452,0.019333,-0.029526,-0.983994
0.031464,0.018585,-0.030457,-0.985001
0.031475,0.018158,-0.031097,-0.986343
0.041383,0.017990,-0.031448,-0.987930
0.041458,0.018051,-0.031555,-0.989624
0.041489,0.018295,-0.031494,-0.991333
0.041508,0.018707,-0.031281,-0.992935
0.041520,0.019272,-0.030945,-0.994339
0.041532,0.019943,-0.030533,-0.995499
0.041591,0.020691,-0.030045,-0.996414
0.041671,0.021469,-0.029495,-0.997055
0.051379,0.022247,-0.028915,-0.997452
0.051480,0.022964,-0.028290,-0.997604
0.051520,0.023605,-0.027679,-0.997528
0.051536,0.024170,-0.027115,-0.997269
0.051553,0.024628,-0.026627,-0.996857
0.051570,0.025024,-0.026215,-0.996399
0.051587,0.025375,-0.025879,-0.995941
0.051599,0.025726,-0.025604,-0.995560
0.061393,0.026093,-0.025375,-0.995300
0.061476,0.026474,-0.025192,-0.995178
0.061493,0.026855,-0.025040,-0.995193
0.061506,0.027206,-0.024887,-0.995331
0.061519,0.027481,-0.024796,-0.995590
0.061540,0.027634,-0.024750,-0.995911
0.061552,0.027664,-0.024780,-0.996262
0.061563,0.027512,-0.024887,-0.996582
