t,x,y,z
0.006959,0.027145,-0.028015,-0.996750
0.007182,0.026138,-0.027954,-0.995728
0.007201,0.025009,-0.027786,-0.994629
0.007214,0.023849,-0.027527,-0.993576
0.007232,0.022766,-0.027206,-0.992599
0.007252,0.021790,-0.026855,-0.991760
0.007264,0.020966,-0.026489,-0.991104
0.016797,0.020325,-0.026108,-0.990646
0.016875,0.019882,-0.025772,-0.990402
0.016906,0.019653,-0.025497,-0.990356
0.016921,0.019592,-0.025330,-0.990494
0.016984,0.019669,-0.025299,-0.990768
0.017105,0.019836,-0.025421,-0.991165
0.017126,0.020065,-0.025681,-0.991653
0.017141,0.020309,-0.026093,-0.992233
0.026768,0.020569,-0.026627,-0.992844
0.026825,0.020828,-0.027222,-0.993469
0.026847,0.021088,-0.027847,-0.994080
0.026872,0.021362,-0.028473,-0.994675
0.026890,0.021698,-0.029007,-0.995224
0.026902,0.022049,-0.029434,-0.995712
0.026915,0.022446,-0.029678,-0.996078
0.026929,0.022858,-0.029739,-0.996323
0.036721,0.023239,-0.029602,-0.996414
0.036810,0.023560,-0.029282,-0.996353
0.036831,0.023819,-0.028778,-0.996140
0.036854,0.024017,-0.028152,-0.995804
0.036873,0.024139,-0.027451,-0.995392
0.036886,0.024216,-0.026764,-0.994949
0.036898,0.024246,-0.026108,-0.994507
0.036921,0.024231,-0.025528,-0.994125
0.046732,0.024170,-0.025070,-0.993790
0.046784,0.024048,-0.024719,-0.993515
0.046801,0.023880,-0.024490,-0.993332
0.046813,0.023666,-0.024384,-0.993195
0.046826,0.023438,-0.024384,-0.993118
0.046838,0.023178,-0.024506,-0.993073
0.046851,0.022919,-0.024704,-0.993057
0.046863,0.022659,-0.024994,-0.993057
0.056721,0.022430,-0.025360,-0.993088
0.056779,0.022232,-0.025772,-0.993134
0.056802,0.022064,-0.026260,-0.993225
0.056834,0.021896,-0.026764,-0.993347
0.056852,0.021713,-0.027283,-0.993484
0.056864,0.021545,-0.027740,-0.993607
0.056878,0.021408,-0.028137,-0.993729
0.056898,0.021362,-0.028412,-0.993881
0.066745,0.021408,-0.028564,-0.994095
0.066800,0.021469,-0.028625,-0.994308
0.066820,0.021469,-0.028656,-0.994354
0.066839,0.021286,-0.028732,-0.994125
0.066853,0.020889,-0.028870,-0.993515
0.066870,0.020248,-0.029068,-0.992554
